source,target,tgt_lng
Helldiver,绝地潜兵,zh-CN
Helldivers,绝地潜兵,zh-CN
SEAF,超级地球武装部队,zh-CN
S.E.A.F.,超级地球武装部队,zh-CN
Super Earth Federation,超级地球联邦,zh-CN
Federation of Super Earth,超级地球联邦,zh-CN
Super Earth,超级地球,zh-CN
super earth,超级地球,zh-CN
Stratagem,战略配备,zh-CN
Super Destroyer,超级驱逐舰,zh-CN
Escalation of Freedom,“自由升级”,zh-CN
Omens of Tyranny,“暴政预兆”,zh-CN
Heart of Democracy,“民主之心”,zh-CN
Into the Unjust,“天上为公”（“正义未至之境”）,zh-CN
Termind Control System,终结族控制系统,zh-CN
TCS,终结族控制系统,zh-CN
Free,解放,zh-CN
Meridia,默里迪亚,zh-CN
Meridian Singularity,默里迪恩奇点,zh-CN
Meridian,默里迪恩,zh-CN
Meridian Wormhole,默里迪恩虫洞,zh-CN
Malevelon Creek,麦拉芬蒙河,zh-CN
Patrol,巡逻队,zh-CN
Terminids,终结族,zh-CN
The Terminids,终结族,zh-CN
Automatons,机器人,zh-CN
The Automatons,机器人,zh-CN
Automaton Legion,机器人集体,zh-CN
Jet Brigade,喷气旅,zh-CN
Incineration Corps,焚化军团,zh-CN
Illuminate,光能者,zh-CN
The Illuminate,光能者,zh-CN
The Illuminate Cult,光能者邪教,zh-CN
Bile Spitter,吐酸食腐虫,zh-CN
Pouncer,猛扑虫,zh-CN
Scavenger,食腐虫,zh-CN
Alpha Warrior,阿尔法武斗虫,zh-CN
Bile Warrior,吐酸武斗虫,zh-CN
Hunter,追猎虫,zh-CN
Warrior,武斗虫,zh-CN
Alpha Commander,阿尔法指挥官,zh-CN
Brood Commander,虫族指挥官,zh-CN
Hive Guard,虫巢守卫,zh-CN
Charger,强袭虫,zh-CN
Charger Behemoth,巨兽级强袭虫,zh-CN
Spore Charger,孢子强袭虫,zh-CN
Impaler,穿刺虫,zh-CN
Bile Spewer,胆汁喷涌虫,zh-CN
Nursing Spewer,抚育喷涌虫,zh-CN
Shrieker,尖啸虫,zh-CN
Stalker,追踪虫,zh-CN
Bile Titan,吐酸泰坦,zh-CN
Hive Lord,霸王虫,zh-CN
Predator Strain,掠食变种,zh-CN
Predator Hunter,掠食追猎虫,zh-CN
Predator Stalker,掠食追踪虫,zh-CN
Spore Burst Strain,孢裂变种,zh-CN
Spore Burst Scavenger,孢裂食腐虫,zh-CN
Spore Burst Hunter,孢裂追踪虫,zh-CN
Spore Burst Warrior,孢裂武斗虫,zh-CN
Rupture Strain,钻地变种,zh-CN
Rupture Charger,钻地强袭虫,zh-CN
Rupture Spewer,钻地喷涌虫,zh-CN
Rupture Warrior,钻地武斗虫,zh-CN
Terminid Nest,终结族巢穴,zh-CN
Bug Hole,虫洞,zh-CN
Stalker Lair,追踪虫巢穴,zh-CN
Shrieker Nest,尖啸虫巢穴,zh-CN
Spore Spewer,孢子喷涌虫,zh-CN
Infested Tower,侵染塔巢,zh-CN
Terminid Eggs,虫卵,zh-CN
Mutated Eggs,变异虫卵,zh-CN
Bile Titan Nest,泰坦巢,zh-CN
Bug Mine,孢子雷,zh-CN
Mega Nest,超巨巢穴,zh-CN
Hive World,虫窝世界,zh-CN
Brawler,奇袭者,zh-CN
Commissar,机械统帅,zh-CN
Marauder,劫掠者,zh-CN
MG Raider,机枪兵,zh-CN
Rocket Raider,火箭兵,zh-CN
Scout Strider,侦查纵步者,zh-CN
Trooper,装甲兵,zh-CN
Berserker,狂暴者,zh-CN
Devastator,蹂躏者,zh-CN
Heavy Devastator,重型蹂躏者,zh-CN
Reinforced Scout Strider,强化侦查纵步者,zh-CN
Rocket Devastator,火箭蹂躏者,zh-CN
Hulk,巨型者,zh-CN
Hulk Bruiser,毁灭巨型者,zh-CN
Hulk Obliterator,湮灭者,zh-CN
Hulk Scorcher,焚化巨型者,zh-CN
Barrager Tank,铁幕坦克,zh-CN
Annihilator Tank,湮灭坦克,zh-CN
Shredder Tank,碎裂坦克,zh-CN
War Strider,战争纵步者,zh-CN
Dropship,运输艇,zh-CN
Gunship,炮舰,zh-CN
Factory Strider,移动工厂,zh-CN
Assault Raider,突击装甲兵,zh-CN
Jet Brigade Devastator,喷气蹂躏者,zh-CN
Jet Brigade Hulk,喷气巨型者,zh-CN
Conflagration Devastator,烈焰蹂躏者,zh-CN
Hulk Firebomber,烈焰巨型者,zh-CN
Incendiary MG Devastator,烈焰重型蹂躏者,zh-CN
Incendiary Rocket Devastator,烈焰火箭蹂躏者,zh-CN
Pyro Trooper,烈焰装甲兵,zh-CN
Automaton Outpost,机器人前哨站,zh-CN
Automaton Fabricator,机器人构筑者,zh-CN
Bulk Fabricator,巨型构筑者,zh-CN
Detector Tower,探测塔,zh-CN
Mortar Emplacement,迫击炮阵地,zh-CN
Anti-Air Emplacement,防空阵地,zh-CN
Stratagem Jammer,战略配备干扰装置,zh-CN
Gunship Facility,炮舰设施,zh-CN
Cannon Turret,炮塔,zh-CN
Bunker Turret,碉堡炮塔,zh-CN
Voteless,无票者,zh-CN
Crescent Overseer,新月监视者,zh-CN
Elevated Overseer,崇高监视者,zh-CN
Overseer,监视者,zh-CN
Watcher,守望者,zh-CN
Fleshmob,肉瘤体,zh-CN
Harvester,猎杀器,zh-CN
Leviathan,利维坦,zh-CN
Stingray,刺魟,zh-CN
Warp Ship,跃迁舰,zh-CN
Illuminate Overship,光能者统御舰,zh-CN
Overship,统御舰,zh-CN
Gazer,凝视者,zh-CN
Cognitive Disruptor,感知干扰器,zh-CN
Monolith,巨石,zh-CN
Grounded Warp Ship,着陆的跃迁舰,zh-CN
Lightning Spire,闪电尖塔,zh-CN
Democracy Officer,民主官,zh-CN
Ship Master,舰长,zh-CN
Service Technician,维修技术员,zh-CN
Civilian,公民,zh-CN
SEAF Soldier,超级地球武装部队战士,zh-CN
Galactic War,星系战争,zh-CN
Factions,派系,zh-CN
Major Order,重要指令,zh-CN
Mission Control,任务调度员,zh-CN
Pelican,鹈鹕,zh-CN
Pelican-1,鹈鹕一号,zh-CN
Liberation Campaign,解放战役,zh-CN
Defense Campaign,保卫战役,zh-CN
High-Priority Campaign,高优先级战役,zh-CN
Invasion Campaign,入侵战役,zh-CN
Main Objectives,主要目标,zh-CN
Primary Objectives,主要目标,zh-CN
Terminate Illegal Broadcast,关停非法广播,zh-CN
Pump Fuel To ICBM,将油泵送至洲际弹道导弹,zh-CN
Upload Escape Pod Data,上传逃生舱的数据,zh-CN
Spread Democracy,传播民主,zh-CN
Conduct Geological Survey,开展地质调查,zh-CN
Launch ICBM,发射洲际弹道导弹,zh-CN
Retrieve Valuable Data,检索有价值的数据,zh-CN
Blitz: Search and Destroy,闪电战：搜索与摧毁,zh-CN
Emergency Evacuation,紧急撤离,zh-CN
Retrieve Essential Personnel,疏散科学团队,zh-CN
Evacuate High-Value Assets,撤离高价值资产,zh-CN
Eliminate Brood Commanders,消灭虫族指挥官,zh-CN
Eliminate Chargers,消灭强袭虫,zh-CN
Eliminate Impaler,消灭穿刺虫,zh-CN
Eliminate Bile Titans,消灭吐酸泰坦,zh-CN
Activate E-710 Pumps,启动燃料泵,zh-CN
Purge Hatcheries,清除虫卵,zh-CN
Enable E-710 Extraction,设法采油,zh-CN
Nuke Nursery,用核弹清除繁育腔室,zh-CN
Activate Terminid Control System,激活终结族控制系统,zh-CN
Deactivate Terminid Control System,停用终结族控制系统,zh-CN
Deploy Dark Fluid,部署暗流体,zh-CN
Eradicate Terminid Swarm,彻底消灭终结族虫群,zh-CN
Destroy Transmission Network,摧毁传输网络,zh-CN
Eliminate Devastators,消灭蹂躏者,zh-CN
Eliminate Automaton Hulks,消灭机器人巨型者,zh-CN
Eliminate Automaton Factory Strider,消灭机器人移动工厂,zh-CN
Sabotage Air Base,破坏空运能力,zh-CN
Eradicate Automaton Forces,彻底摧毁机器人部队,zh-CN
Destroy Command Bunkers,摧毁机器人指挥碉堡,zh-CN
Neutralize Orbital Defenses,摧毁地对轨道防御系统,zh-CN
Evacuate Colonists,疏散拓殖地公民,zh-CN
Retrieve Recon Craft Intel,取回侦察机情报,zh-CN
Free Colony,解放殖民地,zh-CN
Blitz: Destroy Illuminate Warp Ships,闪电战：摧毁光能者跃迁舰,zh-CN
Destroy Harvesters,摧毁猎杀器,zh-CN
Repel Invasion Fleet,击退入侵舰队,zh-CN
Take Down Overship,击沉统御舰,zh-CN
Story-Based Objectives,基于重要指令的目标,zh-CN
Extract Research Probe Data,提取研究探测仪数据,zh-CN
Collect Meteorological Data,收集气象数据,zh-CN
Collect Gloom-Infused Oil,采集受“阴霾”影响的原油,zh-CN
Blitz: Secure Research Site,闪电战：保障研究地点的安全,zh-CN
Collect Gloom Spore Readings,收集“阴霾”孢子读数,zh-CN
Chart Terminid Tunnels,绘制终结族地下巢穴网络,zh-CN
Extract E-711,提取 711 元素,zh-CN
Conduct Mobile E-711 Extraction,移动式提取 711 元素,zh-CN
Destroy Spore Lung,摧毁孢肺,zh-CN
Restart Pumps,重启油泵,zh-CN
Rapid Acquisition,快速夺取,zh-CN
Seize Industrial Complex,占领工业联合体,zh-CN
Annex Untapped Mineral Sites,吞并未开发的矿点,zh-CN
Confiscate Assets,没收资产,zh-CN
Blitz: Destroy Bio-Processors,闪电战：摧毁生物处理器,zh-CN
Commando: Secure Black Box,突击兵：取回黑匣子,zh-CN
Commando: Acquire Evidence,突击兵：录取罪证,zh-CN
Commando: Extract Intel,突击兵：取回情报,zh-CN
Optional Objectives,次要目标,zh-CN
Tactical Objectives,次要目标,zh-CN
Side Objectives,次要目标,zh-CN
Requisition Slips,申购点,zh-CN
Super Credits,超级货币,zh-CN
Hellbomb,地狱火炸弹,zh-CN
SEAF Artillery,超级地球武装部队大炮,zh-CN
Explosive,炸弹,zh-CN
High-Yield Explosive,高爆弹,zh-CN
Mini-Nuke,迷你核弹,zh-CN
Smoke,烟雾弹,zh-CN
Static Field,静电场,zh-CN
Napalm,凝固汽油弹,zh-CN
Radar Station,激光雷达站,zh-CN
SEAF SAM Site,超级地球武装部队地对空导弹基地,zh-CN
Destroy Rogue Research Station,摧毁叛变科研站,zh-CN
Retrieve Mutant Larva,取回变异幼虫,zh-CN
Exterminate Terminids,消灭终结族,zh-CN
Intercept Convoy,拦截车队,zh-CN
Enemy Bio-Processors,敌方生物处理器,zh-CN
Purge Illuminate,消灭光能者,zh-CN
Illuminate Encampment,光能者营地,zh-CN
Mobile Radar,移动雷达,zh-CN
Recover Scientific Specimen,找回科学样本,zh-CN
Reinforcement Pods,增援太空舱,zh-CN
Destroy High-Value Target,摧毁高价值目标,zh-CN
Compromise Automaton Defenses,破坏机器人的防御网络,zh-CN
Fabricator,构筑者,zh-CN
Gallantry Beyond Measure,无上英雄,zh-CN
Outstanding Patriotism,爱国精英,zh-CN
Superior Valour,非凡英杰,zh-CN
Honorable Duty,光荣使命,zh-CN
Unremarkable Performance,平庸表现,zh-CN
Disappointing Service,服务不佳,zh-CN
Disgraceful Conduct,可耻行为,zh-CN
Costly Failure,光荣牺牲,zh-CN
Personal Orders,个人指令,zh-CN
Medals,战争债券奖章,zh-CN
Trivial,易如反掌,zh-CN
Easy,简单,zh-CN
Challenging,充满挑战,zh-CN
Hard,困难,zh-CN
Extreme,极端,zh-CN
Suicide Mission,自杀任务,zh-CN
Impossible,不可能的任务,zh-CN
Helldive,绝地俯冲,zh-CN
Super Helldive,超级绝地俯冲,zh-CN
Warbond,战争债券,zh-CN
Helldivers Mobilize!,绝地潜兵总动员！,zh-CN
Legendary Warbond,传奇战争债券,zh-CN
Obedient Democracy Support Troopers,民主光环驰援部队,zh-CN
Righteous Revenants,正义复仇者,zh-CN
Premium Warbond,尊享战争债券,zh-CN
Siege Breakers,破围先锋,zh-CN
Redacted Regiment,绝密军团,zh-CN
Python Commandos,蟒蛇突击兵,zh-CN
Dust Devils,尘卷风,zh-CN
Control Group,变量控制,zh-CN
Force of Law,法律铁碗,zh-CN
Masters of Ceremony,典礼官,zh-CN
Borderline Justice,边境正义,zh-CN
Servants of Freedom,自由公仆,zh-CN
Urban Legends,都市传奇,zh-CN
Truth Enforcers,真理执行者,zh-CN
Chemical Agents,化学专家,zh-CN
Freedom's Flame,自由烈焰,zh-CN
Viper Commandos,毒蛇突击兵,zh-CN
Polar Patriots,极地爱国者,zh-CN
Democratic Detonation,民主爆破,zh-CN
Cutting Edge,遥遥领先,zh-CN
Steeled Veterans,铁血老兵,zh-CN
Boosters,强化资源,zh-CN
Cosmetic sets,披风,zh-CN
Patterns,涂装,zh-CN
Titles,玩家头衔,zh-CN
Acquisition Center,采购中心,zh-CN
Light,轻甲,zh-CN
Heavy,重甲,zh-CN
Tank I,一级坦克装甲,zh-CN
Tank II,二级坦克装甲,zh-CN
Tank III,三级坦克装甲,zh-CN
Tank IV,四级坦克装甲,zh-CN
Tank V,五级坦克装甲,zh-CN
Tank VI,六级坦克装甲,zh-CN
Support Weapons,支援武器,zh-CN
Support Weapon,支援武器,zh-CN
AR-23 Liberator,AR-23 解放者,zh-CN
AR-23P Liberator Penetrator,AR-23P 穿甲解放者,zh-CN
AR-23C Liberator Concussive,AR-23C 震荡解放者,zh-CN
StA-52 Assault Rifle,StA-52 突击步枪,zh-CN
AR-32 Pacifier,AR-32 安抚者,zh-CN
AR-23A Liberator Carbine,AR-23A 解放者卡宾枪,zh-CN
AR-61 Tenderizer,AR-61 肉锤,zh-CN
BR-14 Adjudicator,BR-14 审判者,zh-CN
R-2 Amendment,R-2 修正,zh-CN
R-2124 Constitution,R-2124 宪法,zh-CN
R-6 Deadeye,R-6 鹰眼,zh-CN
R-63 Diligence,R-63 勤勉,zh-CN
R-63CS Diligence Counter Sniper,R-63CS 反狙击勤勉,zh-CN
MP-98 Knight,MP-98 骑士,zh-CN
StA-11 SMG,StA-11 冲锋枪,zh-CN
SMG-32 Reprimand,SMG-32 训斥,zh-CN
SMG-37 Defender,SMG-37 防卫者,zh-CN
SMG-72 Pummeler,SMG-72 暴击斗士,zh-CN
SG-8 Punisher,SG-8 制裁者,zh-CN
SG-8S Slugger,SG-8S 重炮手,zh-CN
SG-20 Halt,SG-20 止息,zh-CN
SG-451 Cookout,SG-451 野炊,zh-CN
SG-225 Breaker,SG-225 破裂者,zh-CN
SG-225SP Breaker Spray&Pray,SG-225SP 弥漫与祷告的破裂者,zh-CN
SG-225IE Breaker Incendiary,SG-225IE 高燃破裂者,zh-CN
CB-9 Exploding Crossbow,CB-9 爆燃弩,zh-CN
R-36 Eruptor,R-36 爆裂铳,zh-CN
SG-8P Punisher Plasma,SG-8P 等离子制裁者,zh-CN
PLAS-39 Accelerator Rifle,PLAS-39 加速步枪,zh-CN
ARC-12 Blitzer,ARC-12 雷霆,zh-CN
LAS-5 Scythe,LAS-5 长柄镰,zh-CN
LAS-16 Sickle,LAS-16 镰刀,zh-CN
LAS-17 Double-Edge Sickle,LAS-17 双刃镰刀,zh-CN
PLAS-1 Scorcher,PLAS-1 焦土,zh-CN
PLAS-101 Purifier,PLAS-101 净化者,zh-CN
VG-70 Variable,VG-70 变数,zh-CN
FLAM-66 Torcher,FLAM-66 火炬手,zh-CN
JAR-5 Dominator,JAR-5 主宰,zh-CN
P-92 Warrant,P-92 法令,zh-CN
P-2 Peacemaker,P-2 和平制造者,zh-CN
P-19 Redeemer,P-19 救世主,zh-CN
P-113 Verdict,P-113 裁决,zh-CN
P-4 Senator,P-4 参议员,zh-CN
CQC-19 Stun Lance,CQC-19 眩晕长矛,zh-CN
CQC-2 Saber,CQC-2 军刀,zh-CN
CQC-30 Stun Baton,CQC-30 眩晕短棍,zh-CN
CQC-5 Combat Hatchet,CQC-5 近战手斧,zh-CN
P-11 Stim Pistol,P-11 治疗剂手枪,zh-CN
SG-22 Bushwhacker,SG-22 游击兵,zh-CN
LAS-58 Talon,LAS-58 猛爪,zh-CN
P-72 Crisper,P-72 迅击,zh-CN
GP-31 Grenade Pistol,GP-31 榴弹手枪,zh-CN
LAS-7 Dagger,LAS-7 匕首,zh-CN
GP-20 Ultimatum,GP-20 最后通牒,zh-CN
PLAS-15 Loyalist,PLAS-15 忠诚者,zh-CN
TED-63 Dynamite,TED-63 炸药,zh-CN
G-6 Frag,G-6 破片手雷,zh-CN
G-12 High Explosive,G-12 高爆手雷,zh-CN
G-10 Incendiary,G-10 燃烧弹,zh-CN
G-16 Impact,G-16 碰炸雷,zh-CN
G-13 Incendiary Impact,G-13 碰炸燃烧弹,zh-CN
G-23 Stun,G-23 震撼弹,zh-CN
G-4 Gas,G-4 毒气雷,zh-CN
G-50 Seeker,G-50 寻踪者,zh-CN
G-3 Smoke,G-3 烟雾弹,zh-CN
G-123 Thermite,G-123 铝热手雷,zh-CN
K-2 Throwing Knife,K-2 飞刀,zh-CN
G-142 Pyrotech,G-142 礼花,zh-CN
G-109 Urchin,G-109 海胆雷,zh-CN
G-31 Arc,G-31 电弧雷,zh-CN
Patriotic Administration Center,爱国行政中心,zh-CN
Engineering Bay,工程港,zh-CN
MG-43 Machine Gun,MG-43 机枪,zh-CN
APW-1 Anti-Materiel Rifle,APW-1 反器材步枪,zh-CN
M-105 Stalwart,M-105 盟友,zh-CN
EAT-17 Expendable Anti-Tank,EAT-17 消耗性反坦克武器,zh-CN
GR-8 Recoilless Rifle,GR-8 无后坐力炮,zh-CN
FLAM-40 Flamethrower,FLAM-40 火焰喷射器,zh-CN
AC-8 Autocannon,AC-8 机炮,zh-CN
MG-206 Heavy Machine Gun,MG-206 重机枪,zh-CN
RL-77 Airburst Rocket Launcher,RL-77 空爆火箭弹发射器,zh-CN
MLS-4X Commando,MLS-4X 突击兵,zh-CN
RS-422 Railgun,RS-422 磁轨炮,zh-CN
FAF-14 Spear,FAF-14 飞矛,zh-CN
StA-X3 W.A.S.P. Launcher,StA-X3 W.A.S.P. 发射器,zh-CN
GL-21 Grenade Launcher,GL-21 榴弹发射器,zh-CN
LAS-98 Laser Cannon,LAS-98 激光大炮,zh-CN
ARC-3 Arc Thrower,ARC-3 电弧发射器,zh-CN
LAS-99 Quasar Cannon,LAS-99 类星体加农炮,zh-CN
SG-88 Break-Action Shotgun,SG-88 中折式霰弹枪,zh-CN
Entrenchment Tool,战壕工具,zh-CN
TX-41 Sterilizer,TX-41 灭菌器,zh-CN
CQC-1 One True Flag,CQC-1 唯一真旗,zh-CN
GL-52 De-Escalator,GL-52 缓和使者,zh-CN
PLAS-45 Epoch,PLAS-45 纪元,zh-CN
LIFT-850 Jump Pack,LIFT-850 喷气背包,zh-CN
M-102 Fast Recon Vehicle,M-102 快速侦查载具,zh-CN
E/MG-101 HMG Emplacement,E/MG-101 重机枪部署支架,zh-CN
FX-12 Shield Generator Relay,FX-12 护盾力场发生器,zh-CN
A/ARC-3 Tesla Tower,A/ARC-3 特斯拉塔,zh-CN
E/GL-21 Grenadier Battlement,E/GL-21 掷弹兵防卫墙,zh-CN
MD-6 Anti-Personnel Minefield,MD-6 反步兵雷区,zh-CN
B-1 Supply Pack,B-1 补给背包,zh-CN
MD-I4 Incendiary Mines,MD-I4 燃烧地雷,zh-CN
AX/LAS-5 "Guard Dog" Rover,AX/LAS-5 “护卫犬”漫游车,zh-CN
SH-20 Ballistic Shield Backpack,SH-20 防弹护盾背包,zh-CN
MD-17 Anti-Tank Mines,MD-17 反坦克地雷,zh-CN
SH-32 Shield Generator Pack,SH-32 护盾力场背包,zh-CN
MD-8 Gas Mines,MD-8 毒气地雷,zh-CN
A/MG-43 Machine Gun Sentry,A/MG-43 哨戒机枪,zh-CN
A/G-16 Gatling Sentry,A/G-16 加特林哨戒炮,zh-CN
A/M-12 Mortar Sentry,A/M-12 迫击哨戒炮,zh-CN
AX/AR-23 "Guard Dog",AX/AR-23 “护卫犬”,zh-CN
A/AC-8 Autocannon Sentry,A/AC-8 哨戒炮,zh-CN
A/MLS-4X Rocket Sentry,A/MLS-4X 火箭哨戒炮,zh-CN
A/M-23 EMS Mortar Sentry,A/M-23 静电场发生器迫击哨戒炮,zh-CN
EXO-45 Patriot Exosuit,EXO-45 爱国者外骨骼机甲,zh-CN
EXO-49 Emancipator Exosuit,EXO-49 解放者外骨骼机甲,zh-CN
AX/TX-13 "Guard Dog" Dog Breath,AX/TX-13 “护卫犬”腐息,zh-CN
SH-51 Directional Shield,SH-51 定向护盾,zh-CN
E/AT-12 Anti-Tank Emplacement,E/AT-12 反坦克炮台,zh-CN
A/FLAM-40 Flame Sentry,A/FLAM-40 火焰喷射哨戒炮,zh-CN
B-100 Portable Hellbomb,B-100 便携式地狱火炸弹,zh-CN
LIFT-860 Hover Pack,LIFT-860 悬浮背包,zh-CN
AX/ARC-3 "Guard Dog" K-9,AX/ARC-3 “护卫犬”K-9,zh-CN
A/LAS-98 Laser Sentry,A/LAS-98 激光哨戒炮,zh-CN
LIFT-182 Warp Pack,LIFT-182 传送背包,zh-CN
TD-220 Bastion MK XVI,TD-220 “堡垒” MK XVI,zh-CN
120mm HV cannon,120mm 高速战车炮,zh-CN
S-11 Speargun,S-11 矛枪,zh-CN
EAT-700 Expendable Napalm,EAT-700 消耗性凝固汽油弹,zh-CN
MS-11 Solo Silo,MS-11 单兵导弹发射井,zh-CN
M-1000 Maxigun,M-1000 重装机枪,zh-CN
CQC-9 Defoliation Tool,CQC-9 除叶工具,zh-CN
AX/FLAM-75 "Guard Dog" Hot Dog,AX/FLAM-75 “护卫犬”热狗,zh-CN
B/MD C4 Pack,B/MD C4 背包,zh-CN
Call In Super Destroyer,呼叫超级驱逐舰,zh-CN
Cargo Container,货运集装箱,zh-CN
GL-28 Belt-Fed Grenade Launcher,GL-28 弹链式榴弹发射器,zh-CN
Breaching Hammer,破门锤,zh-CN
EAT-411 Leveller,EAT-411 荡平者,zh-CN
Hellpod,绝地喷射舱,zh-CN
Hellpod Space Optimization,绝地喷射舱空间优化,zh-CN
Vitality Enhancement,生命强化,zh-CN
UAV Recon Booster,UAV 雷达强化,zh-CN
Stamina Enhancement,耐力强化,zh-CN
Muscle Enhancement,体格强化,zh-CN
Increased Reinforcement Budget,强化增援预算,zh-CN
Flexible Reinforcement Budget,灵活增援预算,zh-CN
Localization Confusion,定位混淆,zh-CN
Expert Extraction Pilot,专业撤离飞行员,zh-CN
Motivational Shocks,激励性冲击,zh-CN
Experimental Infusion,实验性注射剂,zh-CN
Firebomb Hellpods,火焰燃烧弹绝地喷射舱,zh-CN
Dead Sprint,死亡冲刺,zh-CN
Extraction,撤离,zh-CN
Armed Resupply Pods,武装重新补给舱,zh-CN
Sample Extricator,样本提取器,zh-CN
Sample Scanner,样本扫描仪,zh-CN
Stun Pods,眩晕绝地喷射舱,zh-CN
Armor Passives,护甲技能,zh-CN
Standard Issue,基础框架,zh-CN
Port Mercy,馨家泊,zh-CN
Equality-On-Sea,仰齐浜,zh-CN
Prosperity City,荣都,zh-CN
Administrative Center 02,行政中心 02,zh-CN
Eagleopolis,鹰都,zh-CN
Remembrance,缅城,zh-CN
York Supreme,棒约克,zh-CN
Automaton Mine,机器人地雷,zh-CN
Acid Storms,酸雨风暴,zh-CN
Extreme Cold,极寒,zh-CN
Despotic Explosive,机器人的油桶,zh-CN
